Player Name,Composite Metric,Salary
Tre Mann,15.949649999999997,3046200
Aaron Wiggins,15.935599999999999,1563518
Jordan Nwora,15.926799999999998,3000000
Xavier Tillman,15.895700000000001,1901625
Josh Green,15.88685,3098400
Jock Landale,15.866399999999999,1563518
Jalen Johnson,15.79455,2792640
Marvin Bagley III,15.746450000000001,12500000
David Roddy,15.62145,2588640
Terrence Ross,15.616499999999998,580373
Seth Curry,15.613150000000001,8496500
Jordan Goodwin,15.597399999999999,900000
Pat Connaughton,15.584599999999998,5728393
Luke Kennard,15.5796,14415545
Cam Thomas,15.572049999999999,2138160
Hamidou Diallo,15.553650000000003,5200000
Trendon Watford,15.543,1563518
Obi Toppin,15.542300000000001,5348280
Kendrick Nunn,15.481200000000001,5250000
Christian Braun,15.414749999999998,2808600
Cameron Payne,15.37075,6000000
Delon Wright,15.313699999999999,7804878
Cory Joseph,15.166350000000003,5155500
Kenrich Williams,15.160849999999998,2000000
Wenyen Gabriel,15.159799999999999,1878720
Victor Oladipo,15.034850000000002,8750000
P.J. Tucker,15.006349999999998,10490000
Usman Garuba,14.954299999999998,2471160
Ben Simmons,14.9033,35448672
Oshae Brissett,14.7743,1846738
Matisse Thybulle,14.77175,4379527
Terence Davis,14.73615,4000000
Taurean Prince,14.728349999999999,8000000
Paul Reed,14.724649999999999,1782621
Kris Dunn,14.691849999999999,735819
Mark Williams,14.641850000000002,3722040
James Wiseman,14.5929,9603360
Ochai Agbaji,14.46635,3918360
Mike Muscala,14.397449999999997,3500000
John Wall,14.385349999999997,6479000
Kevin Knox II,14.352899999999998,5845979
Jeff Green,14.219400000000004,4500000
Bismack Biyombo,14.1339,1836090
Luke Kornet,14.073249999999998,2133278
Chimezie Metu,14.059450000000002,1910680
Derrick Jones Jr.,13.905,3200000
Will Barton,13.883949999999999,432642
JaMychal Green,13.871999999999998,1836090
Josh Christopher,13.868249999999998,2372160
Nickeil Alexander-Walker,13.862200000000001,5009633
Lamar Stevens,13.8174,1782621
Robert Williams III,13.77235,10937502
Dario Saric,13.767899999999997,9240000
JT Thor,13.589950000000002,1563518
Goran Dragic,13.51605,390433
Gary Harris,13.487499999999999,13000000
Mo Bamba,13.329250000000002,10300000
Jaden Hardy,13.2569,1017781
Nassir Little,13.2221,4171548
Yuta Watanabe,13.214549999999997,1762796
Cam Reddish,13.1973,5954454
Isaiah Livers,13.190850000000001,1563518
Edmond Sumner,13.163049999999998,1968175
Vlatko Cancar,13.153799999999999,2234359
Dyson Daniels,13.1359,5508600
Montrezl Harrell,13.1099,2463490
Moses Moody,13.0838,3562200
